ms	datetime	channel	type	magnitude	minute_total	baseline	organic_n
1541594145000	2018-11-07 12:35:45 UTC	pdp	minor	94	94	1.8	60
1541594148000	2018-11-07 12:35:48 UTC	ts	minor	60	60	1.9	60
1541595046000	2018-11-07 12:50:46 UTC	ts	minor	109	109	0.6	60
1541595804000	2018-11-07 13:03:24 UTC	pdp	minor	82	82	1.8	60
1541596277000	2018-11-07 13:11:17 UTC	pdp	minor	74	74	1.3	60
1541600082000	2018-11-07 14:14:42 UTC	pdp	minor	79	79	1.6	60
1541601073000	2018-11-07 14:31:13 UTC	pdp	minor	72	72	1.0	60
1541603579000	2018-11-07 15:12:59 UTC	pdp	minor	67	67	1.9	60
1541603811000	2018-11-07 15:16:51 UTC	ts	minor	71	71	1.0	60
1541604148000	2018-11-07 15:22:28 UTC	pdp	minor	86	86	0.2	60
1541604435000	2018-11-07 15:27:15 UTC	pdp	minor	66	66	1.8	60
1541608008000	2018-11-07 16:26:48 UTC	pdp	minor	69	69	1.4	60
1541608208000	2018-11-07 16:30:08 UTC	ts	minor	72	72	1.6	60
1541608932000	2018-11-07 16:42:12 UTC	pdp	minor	131	131	1.1	60
1541609960000	2018-11-07 16:59:20 UTC	pdp	minor	65	65	1.3	60
1541610878000	2018-11-07 17:14:38 UTC	pdp	minor	75	75	1.7	60
1541613916000	2018-11-07 18:05:16 UTC	ts	minor	58	58	0.9	60
1541614102000	2018-11-07 18:08:22 UTC	pdp	minor	113	113	1.6	60
1541616644000	2018-11-07 18:50:44 UTC	ts	minor	-111	-111	1.9	60
1541616696000	2018-11-07 18:51:36 UTC	pdp	minor	124	124	1.4	60
1541618831000	2018-11-07 19:27:11 UTC	pdp	minor	95	95	-0.3	60
1541619536000	2018-11-07 19:38:56 UTC	ts	audit	5968	5968	0.8	60
1541619677000	2018-11-07 19:41:17 UTC	pdp	audit	4836	4836	2.3	60
1541628146000	2018-11-07 22:02:26 UTC	pdp	minor	86	86	1.0	60
1541630413000	2018-11-07 22:40:13 UTC	pdp	minor	66	66	1.1	60
1541632842000	2018-11-07 23:20:42 UTC	pdp	minor	82	82	1.3	60
1541633220000	2018-11-07 23:27:00 UTC	pdp	minor	64	64	0.9	60
1541633305000	2018-11-07 23:28:25 UTC	pdp	minor	80	80	-0.5	60
1541634648000	2018-11-07 23:50:48 UTC	pdp	minor	57	57	0.8	60
1541635285000	2018-11-08 00:01:25 UTC	pdp	minor	-51	50	1.4	60
1541635304000	2018-11-08 00:01:44 UTC	pdp	minor	101	50	0.5	59
1541635472000	2018-11-08 00:04:32 UTC	ts	minor	64	64	-0.6	60
1541663135000	2018-11-08 07:45:35 UTC	pdp	minor	56	112	0.5	60
1541663138000	2018-11-08 07:45:38 UTC	pdp	minor	56	112	0.5	59
1541671077000	2018-11-08 09:57:57 UTC	ts	minor	81	81	0.5	60
1541671450000	2018-11-08 10:04:10 UTC	pdp	minor	-72	-72	2.4	60
1541671572000	2018-11-08 10:06:12 UTC	pdp	minor	61	61	0.3	60
1541671850000	2018-11-08 10:10:50 UTC	pdp	minor	61	61	0.5	60
1541672558000	2018-11-08 10:22:38 UTC	pdp	minor	305	305	1.5	60
1541672656000	2018-11-08 10:24:16 UTC	pdp	minor	218	298	-3.3	60
1541672672000	2018-11-08 10:24:32 UTC	pdp	minor	80	298	-0.8	59
1541672738000	2018-11-08 10:25:38 UTC	pdp	minor	-395	-395	1.4	60
1541673527000	2018-11-08 10:38:47 UTC	ts	minor	90	90	1.3	60
1541680191000	2018-11-08 12:29:51 UTC	ts	minor	62	62	2.0	60
1541682802000	2018-11-08 13:13:22 UTC	ts	minor	116	116	1.5	60
1541685025000	2018-11-08 13:50:25 UTC	pdp	minor	-52	-52	1.7	60
1541685154000	2018-11-08 13:52:34 UTC	pdp	minor	-82	4	1.1	60
1541685171000	2018-11-08 13:52:51 UTC	pdp	minor	86	4	1.1	59
1541685205000	2018-11-08 13:53:25 UTC	pdp	minor	-90	-90	1.0	58
1541685422000	2018-11-08 13:57:02 UTC	pdp	minor	538	538	1.1	60
1541685450000	2018-11-08 13:57:30 UTC	ts	minor	116	116	2.1	60
